crit_number,index,radius,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10
11,4,0.2577450702,-0.3788156145,-0.1381502101,-0.1766288176,-0.0256703276,0.1098423373,-0.4586185117,-0.0958935191,0.4488194271,0.0134292091,0.1914088302,0.022867663,0.0584359838,-0.2022366573,-0.014162717,0.3894920497,2,0,1,1,1,0,1,1,1,1
12,4,0.257312303,-0.4074470985,-0.4064271717,-0.0785009639,0.3816364986,0.0936525762,-0.0410904169,-0.1183302955,0.0936437476,0.0808591203,0.0925196941,-0.4064182832,-0.2004505192,-0.2629053022,0.0936125674,-0.4133490852,0,0,2,1,2,0,1,1,1,1
13,5,0.2571177746,-0.1179295052,-0.1682726911,-0.1295375435,0.1615768536,0.3760841496,-0.2539987347,0.0470344244,0.1667837709,0.224040369,0.3264967398,-0.2888000511,0.0995753683,-0.3975811715,0.2892101161,-0.0036942351,0,2,1,0,0,2,1,0,1,1
14,6,0.2570631072,0.0843837964,0.2257580254,0.2150328662,-0.2496635654,0.2257755844,-0.1759054452,0.250365417,0.2257694187,-0.2957167512,0.0843548161,-0.2742356851,-0.3722626311,0.417347936,-0.2742328814,0.0195740513,1,0,2,0,2,0,0,0,1,1
15,3,0.255702455,-0.020717497,-0.0441561817,-0.0306806523,-0.3857268167,-0.4091657354,-0.0306803553,0.4486465761,0.1214706079,0.1081143492,0.144898547,0.4252188396,-0.1694515267,0.0467661106,-0.4766572016,0.3228838999,0,0,0,0,0,0,0,2,1,1
16,6,0.2548653896,0.022004432,-0.441544337,-0.1961661714,0.0220044888,0.0584349519,-0.2953940807,0.0220043105,-0.1915495588,0.4613356616,-0.4779962073,-0.1365160178,0.0031911354,0.0220034084,0.2534069548,0.2123556329,2,0,0,1,0,1,0,1,1,1
17,2,0.2548253327,-0.1126349937,-0.0493213718,0.353280152,0.0269630058,0.0902766276,-0.3538266602,0.2071638467,0.2704774705,0.1120978099,-0.292835983,0.2704776169,-0.0002732541,0.2071639951,-0.2295223611,-0.0002732541,1,0,2,2,0,2,2,0,0,0
18,4,0.2548211671,0.0587274095,0.129790721,-0.2643227172,-0.1215039076,0.4495591935,0.0892308221,0.3784960266,0.3100221821,0.0892306181,-0.2610412456,-0.0504407791,0.0892305636,0.2389588201,-0.1899778452,0.0892306898,2,2,2,2,0,0,1,1,0,0
19,3,0.25,0.2085803119,0.0554433474,0.1929986282,-0.1729033249,-0.1933206605,-0.0683572302,0.2674294335,0.1817410908,-0.2913343294,0.2674286399,-0.3182589092,-0.2913337932,0.0174293497,-0.0682588916,-0.6448876732,0,0,0,0,0,0,0,2,2,2
20,4,0.25,-0.0653244735,0.0037002573,0.0658671376,0.491686459,0.1966888199,-0.1109091173,0.3776640312,-0.1892888641,0.2426441946,0.1276640374,-0.4392888592,-0.1109092039,0.2416864675,-0.053311178,-0.4644625154,0,0,0,0,0,0,2,2,0,0
21,2,0.25,-0.2206598078,0.0546164054,-0.488686724,0.029340204,-0.1953835549,-0.1351333137,0.2226638439,0.247942923,-0.3119098767,0.0860147182,0.1112917627,0.3951991899,-0.3456627929,0.1796136258,0.0416432348,2,0,0,0,0,0,0,0,0,0
22,4,0.25,0.1956711073,0.3503294856,-0.1314376013,0.1956716142,-0.1496705144,-0.1314378335,-0.3043288927,0.3503286579,-0.1314378333,-0.3043283858,-0.1496713421,-0.1314376116,-0.0543286429,0.1003290681,0.2221156707,2,2,0,2,0,2,2,2,2,2
23,3,0.25,0.2869610175,-0.0124680746,0.3988877907,-0.2130390325,0.2375319465,0.2221111374,-0.2130390419,-0.2624680535,0.2221111392,-0.4630390376,-0.0124680501,-0.131442252,0.0369609624,-0.0124680595,-0.1314422526,0,0,0,0,2,2,2,2,2,2
24,3,0.25,-0.0696975573,0.1358067131,0.3090335708,-0.069697467,0.135806681,-0.398073161,0.1803024427,-0.114193383,-0.0445197518,-0.0696975573,-0.364193319,-0.3980731877,-0.3196975573,-0.1141932927,-0.0445198157,0,2,2,2,2,2,2,2,2,2
25,3,0.25,-0.2402798116,0.2759823753,0.2217869489,-0.2402798349,-0.2240176247,0.2217869501,-0.4902795835,0.025982386,-0.1317666106,0.1943827363,0.0249596908,0.2594115964,-0.1749563263,0.0270424681,-0.5229085421,2,2,0,0,2,1,1,1,1,0
26,3,0.25,0.1798505659,0.104657932,0.1102556708,-0.0701497861,-0.1453424817,0.4638085198,-0.3201494341,0.10465738,0.1102547825,-0.2020145944,-0.329172072,-0.1132307601,0.0617109492,0.0385116809,-0.3733817622,2,2,1,1,2,1,1,1,1,0
27,3,0.25,-0.133173798,-0.0121450921,-0.1190346623,0.1171928254,0.4223687128,-0.1565450747,0.1171928254,-0.0776305719,0.5505617526,0.3671931504,0.1723676519,0.1970073359,0.367574353,-0.143136618,-0.1940142466,0,0,0,0,2,2,0,2,1,1
28,3,0.25,0.2258803884,0.2435988893,-0.0932963249,-0.2741196116,0.2435982587,-0.0932980423,0.4758812875,-0.0064007886,0.2602566577,0.4759184413,-0.3221068525,-0.1304419779,-0.0241578822,-0.1906874219,-0.0561631361,2,2,0,1,2,1,1,1,1,0
29,3,0.25,-0.1197513051,-0.3120905632,0.217018469,0.0644040204,-0.1807154692,-0.3597655797,0.3144040524,0.0692845567,-0.0062122301,0.3144044315,-0.4307154433,-0.0062124615,0.2485263155,-0.0490409767,0.4775801187,0,0,0,0,2,2,1,2,1,1
30,3,0.25,0.4881358258,-0.3338824767,-0.025392319,-0.2618643205,-0.0838826378,0.3281612889,0.2381356795,-0.0838825972,0.3281610533,0.1193960988,0.3500296528,0.1048015026,-0.1434387707,-0.0182483122,-0.1562849474,2,2,0,1,2,1,0,1,1,0
31,3,0.2488967782,-0.0948543893,0.2849017977,0.3432686576,-0.3148631178,-0.0975709714,0.0307661493,0.2821208892,0.1948901014,0.0307661493,0.0621121607,-0.187582668,0.3432686575,-0.0163711143,0.048659565,-0.3403027096,1,1,1,1,1,1,1,1,1,1
32,6,0.2456518947,0.4078944758,-0.0313468216,-0.1163136525,-0.3421035228,0.2186521742,0.2372390379,-0.0921014637,0.4686511338,-0.1163136361,-0.0704621356,-0.1907258543,0.2372388854,-0.1137449317,0.1280301884,-0.4698678957,0,0,1,1,0,1,1,1,1,1
33,8,0.2449489743,-0.1840175165,-0.3125440401,-0.1525801664,0.3159823497,0.3874561354,-0.0111590585,0.3159823539,-0.0125438134,-0.2940018433,-0.18401756,0.0874560727,0.1302623865,0.3159824253,-0.2125439894,0.2716838305,0,0,1,1,1,0,1,1,0,0
34,5,0.241595714,-0.0328481185,0.2464906144,-0.216025525,-0.2828353349,0.4965031786,0.1375278175,-0.0328357885,0.2465042057,0.4910822004,0.0921130633,-0.2033464347,0.0846373626,0.3422147325,0.1963549186,0.1904194632,0,0,0,0,0,1,1,1,1,1
35,4,0.2357022604,0.3798108623,0.4511616947,0.082624678,-0.1201892044,-0.048838316,0.0826542794,0.3798111341,-0.0488384341,0.2004323193,-0.1201888655,0.4511615661,-0.0352699411,0.379811133,-0.0488384335,-0.2709722015,0,0,0,0,0,0,0,1,1,1
36,3,0.2250713733,-0.3436916802,-0.3002035886,-0.187741613,0.1065478176,-0.3002035892,-0.1877416144,0.381428068,0.0262630415,-0.0444123063,0.1065478185,0.3527296682,0.0989170127,-0.3436916793,0.3527296662,0.098917011,1,1,1,1,1,1,1,1,1,1
37,4,0.2236067977,0.2779092959,0.356736758,-0.1807651665,0.4779092959,-0.243263242,-0.1807651666,-0.1220907041,-0.443263242,-0.1807651666,-0.3220907041,0.156736758,-0.1807651666,0.0779092959,-0.043263242,-0.1807651666,1,1,1,1,1,1,1,1,1,1
38,6,0.2165063509,0.2241151973,0.1874954357,-0.1787922934,-0.0258768453,0.4374953578,0.1747658339,-0.2758767078,0.4374943215,-0.1787876539,-0.275876771,-0.0625035879,-0.1787876092,-0.0258767724,-0.0625046202,0.1747657824,0,0,0,0,1,1,0,0,1,1
39,4,0.2159546717,-0.2631169551,0.0802708428,-0.076739658,0.3476950637,-0.3089170737,-0.0767396781,0.4402324555,-0.0122665152,0.223276064,0.1443456531,0.2836202844,0.3303513811,0.0422890543,0.3856768846,-0.0767396681,0,1,1,1,1,1,1,1,1,1
40,3,0.2146607365,-0.0109656996,-0.0658515516,-0.1131807083,0.1898029827,-0.4418899808,-0.1645543913,0.3137645413,0.1862253086,0.0107537358,-0.0622738496,0.0581100087,-0.5210449316,-0.361505206,-0.0658515408,0.1346881715,1,1,1,1,1,1,1,1,1,1
41,4,0.2129568563,0.1495562344,-0.3043209542,0.1699919417,-0.1876083207,-0.3043209542,-0.2226853651,-0.0190260432,0.3573407125,-0.0263467117,-0.330930638,0.085014971,-0.1262003105,0.2928785516,0.085014971,0.0735068871,0,1,1,1,1,1,1,1,1,1
42,5,0.207097014,0.0321733931,-0.4770197959,-0.2094506084,0.1179322049,0.0229801171,0.49765601,0.0321733061,-0.0627786078,-0.2094507293,-0.3820678821,-0.0627786948,-0.2094512684,0.3250527555,0.2301007546,-0.2094508607,1,1,0,1,0,1,1,1,1,1
43,6,0.2070953371,0.1528887312,0.0193977014,0.492527478,0.2993409046,-0.1270544997,-0.0074643864,0.0064362621,0.1658501982,-0.4216941153,0.3600115925,0.2265207711,-0.2145792849,-0.0542343434,-0.1877251551,-0.2145793336,0,0,1,1,1,1,1,1,1,0
44,4,0.2070929683,0.4783955059,-0.0560000657,-0.2089548934,0.2692463067,0.4460561638,-0.0018383378,-0.0236606834,0.1531490905,-0.001838342,-0.0236607196,0.1531491327,-0.4160714388,-0.2307536466,-0.0539438769,0.2910353466,0,0,0,0,1,1,1,1,1,1
45,4,0.2056344699,0.135774791,0.4021093985,0.1795249614,-0.2250270957,-0.2370887147,0.1795249614,0.2360773808,0.1541237782,-0.1328736271,0.1579172667,-0.2149462391,0.0310498822,-0.473012716,-0.136786125,-0.1328736271,0,1,1,1,1,1,1,1,1,1
46,4,0.2054577005,-0.1599592451,0.1334442025,0.4876978305,-0.3052571514,0.2787410299,-0.008680444,-0.1599609339,-0.3665553324,-0.1567540924,-0.0146647136,-0.0118516958,-0.0086804439,0.3400390677,0.1334446666,0.1393927186,0,0,0,0,1,1,1,1,1,1
47,5,0.2046885556,-0.106153971,-0.0888361864,-0.3985598027,0.1424184465,-0.1607276621,-0.0813011222,-0.0178135001,-0.0004957154,0.625805659,0.0540779756,-0.249068133,0.3085469785,-0.4818677623,-0.1247819242,-0.2399304624,1,1,0,1,0,1,1,1,1,1
48,5,0.2026061946,0.12277761,0.1754513884,-0.0347205989,-0.2635684747,0.2188528778,0.0797251779,0.1187905175,0.2447144462,-0.4339718543,-0.2422250843,-0.4074175472,-0.0757829443,0.3952478837,0.0819989981,0.2502906967,1,1,0,1,0,1,1,1,1,1
49,4,0.1980672216,-0.1107695237,-0.0569255585,0.4206348118,0.055897151,0.4430744415,0.1849325571,0.2225637971,0.1718012144,-0.0507697178,0.1082004405,-0.171288945,0.1109645555,0.3369272393,-0.171288945,-0.2125039306,0,1,1,1,1,1,1,1,1,1
50,5,0.1954916079,0.0554219176,-0.3501465063,0.0148766524,0.2847010656,-0.0130610496,-0.4618342181,-0.1400724455,-0.1546521984,-0.2615940493,0.480195346,-0.2085553851,-0.1853634774,-0.0799385194,0.0683962056,-0.5770321501,1,1,0,1,0,1,1,1,1,1
51,7,0.1947087718,-0.1923731366,-0.2647297941,-0.0249693647,-0.0055560736,0.0129268834,-0.6678428359,-0.0989645345,0.3740984777,0.3607007837,0.1812608807,0.2905838217,0.1034976278,0.12080999,-0.042386811,-0.089202925,1,0,0,1,0,1,0,1,1,1
52,5,0.1939513883,-0.2606969376,-0.1669068782,0.0240396139,0.3438999164,-0.0623100625,0.3775932201,0.3438997719,-0.0623101617,-0.3295135615,0.2310535634,0.0505361591,0.0240398365,-0.0432538841,0.3248436064,0.0240398365,0,0,0,0,0,1,1,1,1,1
53,3,0.1898747986,0.0201623042,-0.077626396,-0.5255531973,-0.2899018505,0.2324379417,-0.0870561307,-0.479837691,0.0425020995,0.1815534601,0.330226645,0.2324379369,-0.087056259,0.0201623519,0.2324378955,-0.306304727,1,1,1,1,1,1,1,1,1,1
54,4,0.1887401525,0.4278018474,0.1368322908,0.0874325171,0.1543688279,-0.2740494978,0.3106556571,0.3696026252,-0.490091316,0.0880038742,0.3263078816,0.3126391715,-0.2309674188,0.018162005,0.3124428327,-0.4489982902,0,1,1,1,1,1,1,1,1,1
